ID	Longitude	Latitude
FCT-02	103.124287	28.71942898
FCT-03	103.330501	28.31933904
FCT-10	107.721299	29.48626701
FCT-11	108.363934	30.20658899
FCT-12	108.72262	30.20479501
FCT-16	110.104337	29.79092597
FCT-17	109.960579	30.01699202
FCT-18	110.058368	30.17634197
FCT-19	109.738616	30.17822103
FCT-20	109.34528	30.39365597
FCT-22	109.985184	31.47629301
FCT-23	109.012666	31.728652
LiuJQ-MZL-2013-047	110.25	30.833333
MaoKS-CX-2014-004	103.94142	31.81283
MaoKS-CX-2014-068	102.75659	30.70303
MaoKS-CX-2014-073	102.60868	30.62008
MaoKS-CX-2014-078	102.31856	29.86938
MaoKS-CX-2014-109	102.03479	29.37684
MaoKS-CX-2014-112	102.26338	28.95425
ZXX2020-DYY	107.088221	32.755226
